,Train Split,Order,MSE,MAPE,Time(s),Mean
83,0.500,"(5, 1, 0)",46.105,0.101,22.553,0.597
84,0.500,"(5, 1, 1)",46.756,0.103,35.136,0.299
85,0.500,"(5, 2, 0)",56.466,0.112,21.817,0.491
86,0.500,"(5, 2, 1)",47.651,0.104,48.875,1.187
87,0.500,"(6, 0, 0)",48.725,0.106,41.726,-1.042
88,0.500,"(6, 0, 1)",49.149,0.106,55.110,-1.089
89,0.500,"(6, 1, 0)",46.530,0.102,34.482,0.570
90,0.500,"(6, 1, 1)",47.460,0.103,68.184,-0.088
91,0.500,"(6, 2, 0)",55.075,0.111,32.265,0.548
92,0.500,"(6, 2, 1)",48.019,0.105,59.204,1.167
93,0.500,"(7, 0, 0)",49.091,0.107,93.919,-1.091
94,0.500,"(7, 0, 1)",50.831,0.109,223.954,-1.339
95,0.500,"(7, 1, 0)",47.207,0.103,66.676,0.582
96,0.500,"(7, 1, 1)",49.118,0.105,139.355,0.072
97,0.500,"(7, 2, 0)",55.258,0.110,57.871,0.576
98,0.500,"(7, 2, 1)",48.578,0.105,261.632,1.189
99,0.500,"(8, 0, 0)",49.400,0.107,131.650,-1.026
100,0.500,"(8, 0, 1)",50.962,0.110,243.483,-1.153
101,0.500,"(8, 1, 0)",47.514,0.103,98.075,0.607
102,0.500,"(8, 1, 1)",49.189,0.106,329.005,0.175
103,0.500,"(8, 2, 0)",57.802,0.112,93.188,0.678
104,0.500,"(8, 2, 1)",53.942,0.111,251.892,1.016
105,0.600,"(0, 0, 0)",618.630,0.461,1.096,-16.200
106,0.600,"(0, 0, 1)",206.176,0.258,2.702,-8.679
107,0.600,"(0, 1, 0)",45.076,0.100,1.185,0.925
108,0.600,"(0, 1, 1)",45.242,0.099,2.420,0.729
109,0.600,"(0, 2, 0)",81.791,0.135,1.171,-0.057
110,0.600,"(0, 2, 1)",47.709,0.101,4.206,0.897
111,0.600,"(1, 0, 0)",44.662,0.099,3.003,0.069
112,0.600,"(1, 0, 1)",44.413,0.097,5.101,-0.224
113,0.600,"(1, 1, 0)",46.593,0.100,2.132,0.648
114,0.600,"(1, 1, 1)",47.356,0.101,4.065,0.629
115,0.600,"(1, 2, 0)",71.544,0.124,2.289,0.033
116,0.600,"(1, 2, 1)",47.848,0.102,8.373,0.997
117,0.600,"(2, 0, 0)",46.165,0.100,4.371,-0.463
118,0.600,"(2, 0, 1)",47.604,0.101,6.672,-0.679
119,0.600,"(2, 1, 0)",48.097,0.101,3.117,0.632
120,0.600,"(2, 2, 0)",63.384,0.116,2.902,0.048
121,0.600,"(3, 0, 0)",48.420,0.101,5.864,-0.647
122,0.600,"(3, 0, 1)",49.228,0.102,9.902,-0.544
123,0.600,"(3, 1, 0)",49.009,0.103,4.340,0.676
124,0.600,"(3, 1, 1)",49.627,0.103,7.770,0.653
125,0.600,"(3, 2, 0)",62.110,0.115,3.693,0.070
126,0.600,"(3, 2, 1)",53.927,0.107,11.545,0.825
127,0.600,"(4, 0, 0)",48.705,0.102,8.874,-0.606
128,0.600,"(4, 0, 1)",49.752,0.102,25.589,-0.613
129,0.600,"(4, 1, 0)",48.998,0.103,5.636,0.712
130,0.600,"(4, 1, 1)",50.784,0.104,20.821,0.683
131,0.600,"(4, 2, 0)",62.044,0.115,5.000,0.090
132,0.600,"(4, 2, 1)",51.164,0.107,24.762,0.858
133,0.600,"(5, 0, 0)",49.267,0.102,22.825,-0.653
134,0.600,"(5, 0, 1)",50.053,0.103,31.095,-0.702
135,0.600,"(5, 1, 0)",51.189,0.105,18.277,0.848
136,0.600,"(5, 1, 1)",50.540,0.105,27.952,0.771
137,0.600,"(5, 2, 0)",60.422,0.113,17.452,0.164
138,0.600,"(5, 2, 1)",52.711,0.107,40.525,1.242
139,0.600,"(6, 0, 0)",50.411,0.104,34.481,-0.341
140,0.600,"(6, 0, 1)",50.895,0.105,45.878,-0.387
141,0.600,"(6, 1, 0)",51.541,0.106,27.883,0.848
142,0.600,"(6, 1, 1)",50.025,0.103,54.824,0.644
143,0.600,"(6, 2, 0)",59.134,0.112,26.431,0.220
144,0.600,"(6, 2, 1)",53.076,0.108,49.125,1.240
145,0.600,"(7, 0, 0)",50.803,0.105,79.489,-0.385
146,0.600,"(7, 0, 1)",52.127,0.106,183.202,-0.603
147,0.600,"(7, 1, 0)",52.106,0.107,54.580,0.913
148,0.600,"(7, 1, 1)",52.018,0.106,110.461,0.861
149,0.600,"(7, 2, 0)",59.273,0.110,47.492,0.241
150,0.600,"(7, 2, 1)",53.647,0.108,217.485,1.306
151,0.600,"(8, 0, 0)",51.120,0.105,108.993,-0.303
152,0.600,"(8, 0, 1)",51.884,0.106,196.409,-0.388
153,0.600,"(8, 1, 0)",52.426,0.107,77.277,0.947
154,0.600,"(8, 1, 1)",52.258,0.106,264.358,0.897
155,0.600,"(8, 2, 0)",61.729,0.113,74.002,0.316
156,0.600,"(8, 2, 1)",56.398,0.110,221.877,0.771
