,Date,Close Prices,Test Predictions
0,2021-01-25,55.88,55.13
1,2021-02-01,59.34,55.61
2,2021-02-08,62.43,59.16
3,2021-02-15,62.91,62.39
4,2021-02-22,66.13,62.69
5,2021-03-01,69.36,66.27
6,2021-03-08,69.22,69.48
7,2021-03-15,64.53,68.82
8,2021-03-22,64.57,63.80
9,2021-03-29,64.86,64.43
10,2021-04-05,62.95,64.68
11,2021-04-12,66.77,62.57
12,2021-04-19,66.11,67.02
13,2021-04-26,67.25,65.72
14,2021-05-03,68.28,67.17
15,2021-05-10,68.71,68.14
16,2021-05-17,66.44,68.47
17,2021-05-24,69.63,65.91
18,2021-05-31,71.89,69.87
19,2021-06-07,72.69,71.79
20,2021-06-14,73.51,72.30
21,2021-06-21,76.18,73.12
22,2021-06-28,76.17,76.00
23,2021-07-05,75.55,75.39
24,2021-07-12,73.59,74.77
25,2021-07-19,74.10,72.71
26,2021-07-26,76.33,73.69
27,2021-08-02,70.70,76.06
28,2021-08-09,70.59,69.36
29,2021-08-16,65.18,70.34
30,2021-08-23,72.70,64.32
31,2021-08-30,72.61,73.74
32,2021-09-06,72.92,71.90
33,2021-09-13,75.34,72.49
34,2021-09-20,78.09,75.17
35,2021-09-27,79.28,77.76
36,2021-10-04,82.39,78.54
37,2021-10-11,84.86,81.95
38,2021-10-18,85.53,84.18
39,2021-10-25,84.38,84.55
40,2021-11-01,82.74,83.14
41,2021-11-08,82.17,81.46
42,2021-11-15,78.89,81.08
43,2021-11-22,72.72,77.46
44,2021-11-29,69.88,71.26
45,2021-12-06,75.15,69.22
46,2021-12-13,73.52,75.69
47,2021-12-20,76.85,72.55
48,2021-12-27,79.20,76.84
49,2022-01-03,81.75,78.69
50,2022-01-10,86.06,81.18
51,2022-01-17,87.89,85.77
52,2022-01-24,90.03,87.12
53,2022-01-31,93.27,89.43
54,2022-02-07,94.44,93.02
55,2022-02-14,93.54,93.97
56,2022-02-21,97.93,92.80
57,2022-02-28,118.11,98.17
58,2022-03-07,112.67,120.47
59,2022-03-14,107.93,112.78
60,2022-03-21,120.65,107.72
61,2022-03-28,107.67,120.87
62,2022-04-04,102.78,107.71
63,2022-04-11,111.70,102.33
64,2022-04-18,106.65,112.44
65,2022-04-25,109.34,106.47
66,2022-05-02,112.39,109.43
67,2022-05-09,111.55,112.40
68,2022-05-16,112.55,111.46
69,2022-05-23,119.43,112.47
70,2022-05-30,119.72,119.29
71,2022-06-06,122.01,119.64
72,2022-06-13,113.12,121.87
73,2022-06-20,113.12,113.20
74,2022-06-27,116.26,112.97
