,Date,Close Prices,Test Predictions
0,2018-10-29,72.83,77.67
1,2018-11-05,70.18,72.73
2,2018-11-12,66.76,70.40
3,2018-11-19,58.80,67.02
4,2018-11-26,58.71,59.48
5,2018-12-03,61.67,58.81
6,2018-12-10,60.28,61.88
7,2018-12-17,53.82,60.63
8,2018-12-24,52.20,54.83
9,2018-12-31,57.06,52.54
10,2019-01-07,60.48,56.62
11,2019-01-14,62.70,60.64
12,2019-01-21,61.64,63.03
13,2019-01-28,61.87,61.98
14,2019-02-04,62.10,62.18
15,2019-02-11,66.25,62.42
16,2019-02-18,67.12,66.82
17,2019-02-25,66.01,67.55
18,2019-03-04,65.74,66.37
19,2019-03-11,67.16,66.14
20,2019-03-18,67.03,67.65
21,2019-03-25,68.39,67.43
22,2019-04-01,70.34,68.90
23,2019-04-08,71.55,70.88
24,2019-04-15,71.97,72.01
25,2019-04-22,72.15,72.35
26,2019-04-29,70.85,72.52
27,2019-05-06,70.62,71.11
28,2019-05-13,72.21,71.00
29,2019-05-20,68.69,72.73
30,2019-05-27,64.49,68.83
31,2019-06-03,63.29,64.81
32,2019-06-10,62.01,63.65
33,2019-06-17,65.20,62.36
34,2019-06-24,66.55,65.67
35,2019-07-01,64.23,67.01
36,2019-07-08,66.72,64.57
37,2019-07-15,62.47,67.26
38,2019-07-22,63.46,62.83
39,2019-07-29,61.89,63.81
40,2019-08-05,58.53,62.24
41,2019-08-12,58.64,58.96
42,2019-08-19,59.34,58.78
43,2019-08-26,60.43,59.52
44,2019-09-02,61.54,60.65
45,2019-09-09,60.22,61.82
46,2019-09-16,64.28,60.55
47,2019-09-23,61.91,64.69
48,2019-09-30,58.37,62.27
49,2019-10-07,60.51,58.81
50,2019-10-14,59.42,60.62
51,2019-10-21,62.02,59.74
52,2019-10-28,60.21,62.26
53,2019-11-04,62.51,60.57
54,2019-11-11,63.30,62.79
55,2019-11-18,63.39,63.66
56,2019-11-25,62.43,63.75
57,2019-12-02,64.39,62.78
58,2019-12-09,65.22,64.80
59,2019-12-16,66.14,65.64
60,2019-12-23,68.16,66.58
61,2019-12-30,68.60,68.70
62,2020-01-06,64.98,69.02
63,2020-01-13,64.85,65.27
64,2020-01-20,60.69,65.25
65,2020-01-27,58.16,61.12
66,2020-02-03,54.47,58.51
67,2020-02-10,57.32,55.06
68,2020-02-17,58.50,57.09
69,2020-02-24,50.52,58.65
70,2020-03-02,45.27,52.24
71,2020-03-09,33.85,47.52
72,2020-03-16,26.98,42.32
73,2020-03-23,24.93,38.48
74,2020-03-30,34.11,36.56
75,2020-04-06,31.48,37.99
76,2020-04-13,28.08,39.15
77,2020-04-20,21.44,37.83
78,2020-04-27,25.29,36.19
79,2020-05-04,30.97,35.56
80,2020-05-11,32.50,37.18
81,2020-05-18,35.13,38.70
82,2020-05-25,35.33,39.74
83,2020-06-01,42.30,40.39
84,2020-06-08,38.73,43.14
85,2020-06-15,42.19,43.20
86,2020-06-22,41.02,43.67
87,2020-06-29,43.14,44.02
88,2020-07-06,43.24,44.63
89,2020-07-13,43.14,45.19
90,2020-07-20,43.34,45.11
91,2020-07-27,43.30,45.18
92,2020-08-03,44.40,45.21
93,2020-08-10,44.80,45.75
94,2020-08-17,44.35,46.20
95,2020-08-24,45.05,46.03
96,2020-08-31,42.66,46.29
97,2020-09-07,39.83,45.28
98,2020-09-14,43.15,43.55
99,2020-09-21,41.92,44.36
100,2020-09-28,39.27,44.61
101,2020-10-05,42.85,43.20
102,2020-10-12,42.93,44.10
103,2020-10-19,41.77,45.02
104,2020-10-26,37.46,44.43
105,2020-11-02,39.45,42.54
106,2020-11-09,42.78,42.26
107,2020-11-16,44.96,44.23
108,2020-11-23,48.18,46.05
109,2020-11-30,49.25,48.36
