,Date,Close Prices,Test Predictions
0,2019-10-01,60.23,58.82
1,2019-11-01,62.43,60.49
2,2020-01-01,58.16,63.11
3,2020-02-01,50.52,56.60
4,2020-04-01,25.27,49.36
5,2020-05-01,35.33,25.89
6,2020-06-01,41.15,45.24
7,2020-07-01,43.30,43.67
8,2020-08-01,45.10,44.91
9,2020-09-01,40.95,46.74
10,2020-10-01,37.46,41.70
11,2020-12-01,51.34,39.50
12,2021-01-01,55.88,57.93
13,2021-02-01,66.13,55.74
14,2021-03-01,63.54,69.72
15,2021-04-01,67.25,61.45
16,2021-05-01,69.63,68.61
17,2021-06-01,75.13,69.87
18,2021-07-01,76.33,76.76
19,2021-09-01,78.52,76.12
20,2021-10-01,84.38,78.97
21,2021-11-01,70.57,86.37
22,2021-12-01,79.20,65.84
23,2022-01-01,91.21,83.10
24,2022-02-01,100.99,95.25
25,2022-03-01,107.91,104.16
26,2022-04-01,109.34,109.30
27,2022-06-01,114.81,110.05
