,Date,Close Prices,Test Predictions
0,2021-01-15,55.10,56.24
1,2021-01-19,55.90,55.13
2,2021-01-20,56.08,55.67
3,2021-01-21,56.10,55.90
4,2021-01-22,55.41,55.95
5,2021-01-25,55.88,55.35
6,2021-01-26,55.91,55.68
7,2021-01-27,55.81,55.76
8,2021-01-28,55.53,55.68
9,2021-01-29,55.88,55.42
10,2021-02-01,55.88,55.69
11,2021-02-02,57.46,55.73
12,2021-02-03,58.46,57.14
13,2021-02-04,58.84,58.20
14,2021-02-05,59.34,58.66
15,2021-02-08,60.56,59.16
16,2021-02-09,61.09,60.33
17,2021-02-10,61.47,60.93
18,2021-02-11,61.14,61.34
19,2021-02-12,62.43,61.09
20,2021-02-16,63.35,62.25
21,2021-02-17,64.34,63.20
22,2021-02-18,63.93,64.21
23,2021-02-19,62.91,63.92
24,2021-02-22,65.24,62.96
25,2021-02-23,65.37,65.07
26,2021-02-24,67.04,65.32
27,2021-02-25,66.88,66.94
28,2021-02-26,66.13,66.87
29,2021-03-01,65.95,66.17
30,2021-03-02,62.70,65.95
31,2021-03-03,64.07,63.00
32,2021-03-04,66.74,63.95
33,2021-03-05,69.36,66.57
34,2021-03-08,68.24,69.26
35,2021-03-09,67.52,68.29
36,2021-03-10,67.90,67.57
37,2021-03-11,69.63,67.88
38,2021-03-12,69.22,69.58
39,2021-03-15,68.88,69.23
40,2021-03-16,68.39,68.90
41,2021-03-17,68.00,68.42
42,2021-03-18,63.28,68.03
43,2021-03-19,64.53,63.76
44,2021-03-22,64.62,64.44
45,2021-03-23,60.79,64.57
46,2021-03-24,64.41,61.18
47,2021-03-25,61.95,64.17
48,2021-03-26,64.57,62.13
49,2021-03-29,64.98,64.38
50,2021-03-30,64.14,64.89
51,2021-03-31,63.54,64.17
52,2021-04-01,63.60,63.55
53,2021-04-05,62.15,63.55
54,2021-04-06,62.74,62.23
55,2021-04-07,63.16,62.63
56,2021-04-08,63.20,63.06
57,2021-04-09,62.95,63.14
58,2021-04-12,63.28,62.92
59,2021-04-13,63.67,63.20
60,2021-04-14,66.58,63.59
61,2021-04-15,66.94,66.41
62,2021-04-16,66.77,66.88
63,2021-04-19,67.05,66.77
64,2021-04-20,66.57,67.03
65,2021-04-21,65.32,66.59
66,2021-04-22,65.40,65.40
67,2021-04-23,66.11,65.38
68,2021-04-26,65.65,66.04
69,2021-04-27,66.42,65.66
70,2021-04-28,67.27,66.36
71,2021-04-29,68.56,67.21
72,2021-04-30,67.25,68.50
73,2021-05-03,67.29,67.33
74,2021-05-05,68.96,67.29
75,2021-05-06,68.09,68.90
76,2021-05-07,68.28,68.13
77,2021-05-10,68.32,68.28
78,2021-05-11,68.55,68.32
79,2021-05-12,69.32,68.54
80,2021-05-13,67.05,69.29
81,2021-05-14,68.71,67.21
82,2021-05-17,69.46,68.67
83,2021-05-18,68.71,69.42
84,2021-05-19,66.66,68.75
85,2021-05-20,65.11,66.81
86,2021-05-21,66.44,65.23
87,2021-05-24,68.46,66.36
88,2021-05-25,68.65,68.37
89,2021-05-26,68.87,68.63
90,2021-05-27,69.46,68.86
91,2021-05-28,69.63,69.44
92,2021-06-01,69.63,69.63
93,2021-06-02,71.35,69.64
94,2021-06-03,71.31,71.33
95,2021-06-04,71.89,71.31
96,2021-06-07,71.49,71.89
97,2021-06-08,72.22,71.51
98,2021-06-09,72.22,72.23
99,2021-06-10,72.52,72.23
100,2021-06-11,72.69,72.53
101,2021-06-14,72.86,72.70
102,2021-06-15,73.99,72.87
103,2021-06-16,74.39,74.01
104,2021-06-17,73.08,74.40
105,2021-06-18,73.51,73.14
106,2021-06-21,74.90,73.54
107,2021-06-22,74.81,74.93
108,2021-06-23,75.19,74.83
109,2021-06-24,75.56,75.22
110,2021-06-25,76.18,75.59
111,2021-06-28,74.68,76.22
112,2021-06-29,74.76,74.76
113,2021-06-30,75.13,74.80
114,2021-07-01,75.84,75.16
115,2021-07-02,76.17,75.88
116,2021-07-06,74.53,76.21
117,2021-07-07,73.43,74.61
118,2021-07-08,74.12,73.49
119,2021-07-09,75.55,74.15
120,2021-07-12,75.16,75.59
121,2021-07-13,76.49,75.19
122,2021-07-14,74.76,76.55
123,2021-07-15,73.47,74.85
124,2021-07-16,73.59,73.54
125,2021-07-19,68.62,73.62
126,2021-07-20,69.35,69.04
127,2021-07-21,72.23,69.37
128,2021-07-22,73.79,72.23
129,2021-07-23,74.10,73.78
130,2021-07-26,74.50,74.11
131,2021-07-27,74.48,74.52
132,2021-07-28,74.74,74.51
133,2021-07-29,76.05,74.77
134,2021-07-30,76.33,76.10
135,2021-08-02,72.89,76.36
136,2021-08-03,72.41,73.11
137,2021-08-04,70.38,72.46
138,2021-08-05,71.29,70.50
139,2021-08-06,70.70,71.30
140,2021-08-09,69.04,70.73
141,2021-08-10,70.63,69.14
142,2021-08-11,71.44,70.62
143,2021-08-12,71.31,71.42
144,2021-08-13,70.59,71.32
145,2021-08-16,69.51,70.63
146,2021-08-17,69.03,69.58
147,2021-08-18,68.23,69.07
148,2021-08-19,66.45,68.28
149,2021-08-20,65.18,66.58
150,2021-08-23,68.75,65.27
151,2021-08-24,71.05,68.67
152,2021-08-25,72.25,70.98
153,2021-08-26,71.07,72.23
154,2021-08-27,72.70,71.13
155,2021-08-30,73.41,72.72
156,2021-08-31,72.99,73.41
157,2021-09-01,71.59,73.02
158,2021-09-02,73.03,71.67
159,2021-09-03,72.61,73.05
160,2021-09-07,71.69,72.63
161,2021-09-08,72.60,71.74
162,2021-09-09,71.45,72.61
163,2021-09-10,72.92,71.51
164,2021-09-13,73.51,72.94
165,2021-09-14,73.60,73.51
166,2021-09-15,75.46,73.62
167,2021-09-16,75.67,75.51
168,2021-09-17,75.34,75.69
169,2021-09-20,73.92,75.38
170,2021-09-21,74.36,73.99
171,2021-09-22,76.19,74.39
172,2021-09-23,77.25,76.25
173,2021-09-24,78.09,77.30
174,2021-09-27,79.53,78.16
175,2021-09-28,79.09,79.64
176,2021-09-29,78.64,79.18
177,2021-09-30,78.52,78.73
178,2021-10-01,79.28,78.60
179,2021-10-04,81.26,79.38
180,2021-10-05,82.56,81.44
181,2021-10-06,81.08,82.74
182,2021-10-07,81.95,81.27
183,2021-10-08,82.39,82.13
184,2021-10-11,83.65,82.56
