,Date,Close Prices,Test Predictions
0,2018-10-29,77.34,78.35
1,2018-10-30,75.91,78.09
2,2018-10-31,75.47,76.71
3,2018-11-01,75.50,76.22
4,2018-11-02,72.83,76.24
5,2018-11-05,73.17,73.72
6,2018-11-06,72.13,73.89
7,2018-11-07,72.07,72.91
8,2018-11-08,70.65,72.80
9,2018-11-09,70.18,71.45
10,2018-11-12,70.12,70.93
11,2018-11-13,65.47,70.85
12,2018-11-14,66.12,66.59
13,2018-11-15,66.62,66.77
14,2018-11-16,66.76,67.29
15,2018-11-19,66.79,67.46
16,2018-11-20,62.53,67.49
17,2018-11-21,63.48,63.63
18,2018-11-23,58.80,64.06
19,2018-11-26,60.48,59.96
20,2018-11-27,60.21,60.91
21,2018-11-28,58.76,60.82
22,2018-11-29,59.51,59.48
23,2018-11-30,58.71,59.99
24,2018-12-03,58.69,59.34
25,2018-12-04,62.08,59.23
26,2018-12-06,60.06,62.43
27,2018-12-07,61.67,60.87
28,2018-12-10,59.97,62.14
29,2018-12-11,60.20,60.74
30,2018-12-12,60.15,60.76
31,2018-12-13,61.45,60.74
32,2018-12-14,60.28,61.94
33,2018-12-17,59.61,61.00
34,2018-12-18,56.26,60.25
35,2018-12-19,57.24,57.20
36,2018-12-20,54.35,57.62
37,2018-12-21,53.82,55.19
38,2018-12-24,50.47,54.31
39,2018-12-26,54.47,51.39
40,2018-12-27,52.16,54.44
41,2018-12-28,52.20,52.87
42,2018-12-31,52.28,52.60
43,2019-01-02,54.91,52.66
44,2019-01-03,55.95,55.01
45,2019-01-04,57.06,56.26
46,2019-01-07,57.33,57.41
47,2019-01-08,58.72,57.79
48,2019-01-09,61.44,59.10
49,2019-01-10,61.68,61.81
50,2019-01-11,60.48,62.28
51,2019-01-14,58.99,61.20
52,2019-01-15,60.64,59.72
53,2019-01-16,61.32,61.07
54,2019-01-17,61.18,61.86
55,2019-01-18,62.70,61.80
56,2019-01-22,61.50,63.22
57,2019-01-23,61.14,62.24
58,2019-01-24,61.09,61.79
59,2019-01-25,61.64,61.70
60,2019-01-28,59.93,62.21
61,2019-01-29,61.32,60.70
62,2019-01-30,61.65,61.80
63,2019-01-31,61.89,62.24
64,2019-02-01,61.87,62.49
65,2019-02-04,62.51,62.50
66,2019-02-05,61.98,63.09
67,2019-02-06,62.69,62.66
68,2019-02-07,61.63,63.27
69,2019-02-08,62.10,62.36
70,2019-02-11,61.51,62.69
71,2019-02-12,62.42,62.19
72,2019-02-13,63.61,62.98
73,2019-02-14,64.57,64.18
74,2019-02-15,66.25,65.18
75,2019-02-19,66.45,66.85
76,2019-02-20,67.08,67.14
77,2019-02-21,67.07,67.75
78,2019-02-22,67.12,67.78
79,2019-02-25,64.76,67.83
80,2019-02-26,65.21,65.65
81,2019-02-27,66.39,65.86
82,2019-02-28,66.03,67.02
83,2019-03-01,66.01,66.76
84,2019-03-04,65.67,66.71
85,2019-03-05,65.86,66.39
86,2019-03-06,65.99,66.54
87,2019-03-07,66.30,66.68
88,2019-03-08,65.74,66.98
89,2019-03-11,66.58,66.48
90,2019-03-12,66.67,67.23
91,2019-03-13,67.55,67.37
92,2019-03-14,67.23,68.21
93,2019-03-15,67.16,67.96
94,2019-03-18,67.54,67.87
95,2019-03-19,67.61,68.23
96,2019-03-20,68.50,68.32
97,2019-03-21,67.86,69.17
98,2019-03-22,67.03,68.62
