,Train Split,Order,MSE,MAPE,Time(s)
95,0.500,"(1, 1, 0)",47.212,0.095,1.567
96,0.500,"(1, 1, 1)",47.512,0.095,3.936
97,0.500,"(1, 1, 2)",48.466,0.096,15.313
98,0.500,"(1, 2, 0)",71.448,0.120,1.686
99,0.500,"(1, 2, 1)",49.536,0.098,10.178
100,0.500,"(2, 0, 0)",48.843,0.097,4.792
101,0.500,"(2, 0, 1)",49.561,0.097,9.592
102,0.500,"(2, 1, 0)",47.450,0.095,2.788
103,0.500,"(2, 1, 2)",52.134,0.100,20.072
104,0.500,"(2, 2, 0)",68.121,0.116,2.546
105,0.500,"(2, 2, 1)",49.781,0.098,14.425
106,0.500,"(3, 0, 0)",49.291,0.097,7.627
107,0.500,"(3, 0, 1)",49.350,0.098,30.286
108,0.500,"(3, 0, 2)",50.469,0.098,43.895
109,0.500,"(3, 1, 0)",47.909,0.095,4.240
110,0.500,"(3, 1, 1)",47.813,0.095,23.824
111,0.500,"(3, 2, 0)",64.040,0.113,3.917
112,0.500,"(3, 2, 1)",50.397,0.099,20.711
113,0.500,"(4, 0, 0)",50.888,0.098,10.917
114,0.500,"(4, 0, 1)",51.040,0.099,66.460
115,0.500,"(4, 1, 0)",49.723,0.096,6.944
116,0.500,"(4, 1, 1)",51.683,0.098,28.353
117,0.500,"(4, 2, 0)",61.693,0.112,5.916
118,0.500,"(4, 2, 1)",51.961,0.100,29.828
119,0.500,"(5, 0, 0)",51.642,0.099,30.613
120,0.500,"(5, 0, 1)",51.389,0.098,71.737
121,0.500,"(5, 1, 0)",51.296,0.098,23.141
122,0.500,"(5, 1, 1)",50.988,0.098,33.811
123,0.500,"(5, 1, 2)",54.538,0.102,60.209
124,0.500,"(5, 2, 0)",57.569,0.106,22.479
125,0.500,"(5, 2, 1)",53.453,0.102,60.240
126,0.500,"(6, 0, 0)",52.532,0.099,50.164
127,0.500,"(6, 0, 1)",52.031,0.099,70.742
128,0.500,"(6, 1, 0)",51.171,0.098,38.927
129,0.500,"(6, 1, 1)",51.210,0.098,61.175
130,0.500,"(6, 1, 2)",52.758,0.099,119.064
131,0.500,"(6, 2, 0)",59.495,0.107,38.314
132,0.500,"(6, 2, 1)",53.252,0.102,68.012
133,0.500,"(6, 2, 2)",53.483,0.103,94.765
134,0.500,"(7, 0, 0)",52.091,0.100,135.394
135,0.500,"(7, 0, 1)",52.405,0.100,225.068
136,0.500,"(7, 1, 0)",51.088,0.098,83.876
137,0.500,"(7, 1, 1)",52.384,0.099,165.385
138,0.500,"(7, 1, 2)",55.209,0.103,437.713
139,0.500,"(7, 2, 0)",57.741,0.104,79.170
140,0.500,"(7, 2, 1)",53.303,0.103,349.009
141,0.500,"(7, 2, 2)",63.938,0.111,339.982
142,0.500,"(8, 0, 0)",52.465,0.100,192.940
143,0.500,"(8, 0, 1)",52.883,0.100,356.439
144,0.500,"(8, 1, 0)",51.471,0.099,130.521
145,0.500,"(8, 1, 1)",52.532,0.100,259.441
146,0.500,"(8, 1, 2)",56.600,0.104,493.611
147,0.500,"(8, 2, 0)",59.113,0.105,130.168
148,0.500,"(8, 2, 1)",58.113,0.105,286.883
149,0.500,"(8, 2, 2)",58.760,0.107,548.312
150,0.500,"(9, 0, 0)",52.555,0.100,317.512
151,0.500,"(9, 0, 1)",53.189,0.101,611.652
152,0.500,"(9, 1, 0)",52.341,0.099,231.258
153,0.500,"(9, 1, 1)",52.930,0.099,368.241
