,Train Split,Order,MSE,MAPE,Time(s)
95,0.650,"(0, 2, 1)",11.371,0.040,42.900
96,0.650,"(1, 0, 0)",11.098,0.039,11.406
97,0.650,"(1, 0, 1)",11.134,0.039,85.959
98,0.650,"(1, 0, 2)",11.267,0.039,101.965
99,0.650,"(1, 1, 0)",11.152,0.039,5.875
100,0.650,"(1, 2, 0)",17.513,0.047,5.823
101,0.650,"(1, 2, 1)",11.214,0.039,103.770
102,0.650,"(1, 2, 2)",11.252,0.039,275.272
103,0.650,"(2, 0, 0)",11.140,0.039,20.979
104,0.650,"(2, 0, 1)",11.168,0.039,123.104
105,0.650,"(2, 0, 2)",11.203,0.039,162.163
106,0.650,"(2, 1, 0)",11.285,0.039,10.005
107,0.650,"(2, 1, 1)",11.237,0.039,99.845
108,0.650,"(2, 2, 0)",14.070,0.043,9.098
109,0.650,"(2, 2, 2)",11.444,0.039,211.960
110,0.650,"(3, 0, 0)",11.279,0.039,34.841
111,0.650,"(3, 0, 1)",11.410,0.039,150.008
112,0.650,"(3, 0, 2)",11.227,0.039,471.756
113,0.650,"(3, 1, 0)",11.166,0.039,13.436
114,0.650,"(3, 1, 1)",11.173,0.039,117.034
115,0.650,"(3, 1, 2)",11.355,0.039,139.478
116,0.650,"(3, 2, 0)",13.628,0.042,25.802
117,0.650,"(3, 2, 1)",11.223,0.039,229.832
118,0.650,"(4, 0, 0)",11.143,0.039,55.303
119,0.650,"(4, 0, 1)",11.144,0.039,193.241
120,0.650,"(4, 0, 2)",11.342,0.039,246.035
121,0.650,"(4, 1, 0)",11.267,0.039,22.318
122,0.650,"(4, 1, 1)",11.319,0.039,122.685
123,0.650,"(4, 1, 2)",11.347,0.039,187.207
124,0.650,"(4, 2, 0)",13.243,0.041,50.420
125,0.650,"(4, 2, 1)",11.324,0.039,321.816
126,0.650,"(4, 2, 2)",11.411,0.039,571.983
127,0.650,"(5, 0, 0)",11.242,0.039,133.113
128,0.650,"(5, 0, 1)",11.295,0.039,263.544
129,0.650,"(5, 1, 0)",11.311,0.039,80.797
130,0.650,"(5, 1, 1)",11.330,0.039,150.022
131,0.650,"(5, 1, 2)",11.360,0.039,241.043
132,0.650,"(5, 2, 0)",12.472,0.040,131.456
133,0.650,"(5, 2, 1)",11.369,0.039,517.870
