,Interval,Train Split,MSE,MAPE,Time(s)
0,DAILY,0.800,5.904,0.020,71.011
1,DAILY,0.500,10.041,0.036,70.472
2,DAILY,0.600,9.876,0.031,103.463
3,WEEKLY,0.800,25.012,0.039,46.887
4,WEEKLY,0.500,29.646,0.081,64.873
5,WEEKLY,0.600,16.999,0.053,58.346
6,MONTHLY,0.800,80.147,0.096,105.243
7,MONTHLY,0.500,69.405,0.132,173.290
8,MONTHLY,0.600,71.132,0.134,124.536
